x,y,R,s,T
0.700000,-0.900000,0.741284,0.040000,342.062654
0.740000,-0.900000,0.753289,0.040000,340.147971
0.780000,-0.900000,0.765291,0.040000,338.176476
0.820000,-0.900000,0.778945,0.040000,336.157123
0.860000,-0.900000,0.792728,0.040000,334.099084
0.900000,-0.900000,0.808255,0.040000,332.011611
0.940000,-0.900000,0.823744,0.040000,329.903898
0.980000,-0.900000,0.840853,0.040000,327.784949
1.020000,-0.900000,0.858565,0.040000,325.663461
1.060000,-0.900000,0.877151,0.040000,323.547716
1.100000,-0.900000,0.897136,0.040000,321.445503
1.140000,-0.900000,0.917472,0.040000,319.364045
-1.260000,-0.860000,0.952237,0.040000,317.144455
-1.220000,-0.860000,0.928759,0.040000,319.274580
-1.180000,-0.860000,0.905502,0.040000,321.447431
-1.140000,-0.860000,0.883445,0.040000,323.657356
-1.100000,-0.860000,0.862680,0.040000,325.897962
-1.060000,-0.860000,0.842336,0.040000,328.162120
-1.020000,-0.860000,0.822965,0.040000,330.441990
-0.980000,-0.860000,0.805116,0.040000,332.729064
-0.940000,-0.860000,0.787392,0.040000,335.014243
-0.900000,-0.860000,0.771172,0.040000,337.287931
-0.860000,-0.860000,0.755659,0.040000,339.540155
-0.820000,-0.860000,0.741187,0.040000,341.760709
-0.780000,-0.860000,0.727547,0.040000,343.939310
-0.740000,-0.860000,0.714955,0.040000,346.065767
-0.700000,-0.860000,0.702919,0.040000,348.130147
-0.660000,-0.860000,0.692323,0.040000,350.122939
-0.620000,-0.860000,0.681717,0.040000,352.035191
-0.580000,-0.860000,0.672345,0.040000,353.858633
-0.540000,-0.860000,0.663937,0.040000,355.585768
-0.500000,-0.860000,0.655680,0.040000,357.209921
-0.460000,-0.860000,0.648448,0.040000,358.725274
-0.420000,-0.860000,0.642163,0.040000,360.126845
-0.380000,-0.860000,0.636104,0.040000,361.410461
-0.340000,-0.860000,0.630701,0.040000,362.572699
-0.300000,-0.860000,0.626142,0.040000,363.610807
-0.260000,-0.860000,0.622409,0.040000,364.522628
-0.220000,-0.860000,0.618781,0.040000,365.306510
-0.180000,-0.860000,0.615797,0.040000,365.961217
-0.140000,-0.860000,0.613600,0.040000,366.485857
-0.100000,-0.860000,0.612175,0.040000,366.879803
-0.060000,-0.860000,0.610917,0.040000,367.142640
-0.020000,-0.860000,0.610180,0.040000,367.274118
0.020000,-0.860000,0.610180,0.040000,367.274118
0.060000,-0.860000,0.610917,0.040000,367.142640
0.100000,-0.860000,0.612175,0.040000,366.879803
0.140000,-0.860000,0.613600,0.040000,366.485857
0.180000,-0.860000,0.615797,0.040000,365.961217
0.220000,-0.860000,0.618781,0.040000,365.306510
0.260000,-0.860000,0.622409,0.040000,364.522628
0.300000,-0.860000,0.626142,0.040000,363.610807
0.340000,-0.860000,0.630701,0.040000,362.572699
0.380000,-0.860000,0.636104,0.040000,361.410461
0.420000,-0.860000,0.642163,0.040000,360.126845
0.460000,-0.860000,0.648448,0.040000,358.725274
0.500000,-0.860000,0.655680,0.040000,357.209921
0.540000,-0.860000,0.663937,0.040000,355.585768
0.580000,-0.860000,0.672345,0.040000,353.858633
0.620000,-0.860000,0.681717,0.040000,352.035191
0.660000,-0.860000,0.692323,0.040000,350.122939
0.700000,-0.860000,0.702919,0.040000,348.130147
0.740000,-0.860000,0.714955,0.040000,346.065767
0.780000,-0.860000,0.727547,0.040000,343.939310
0.820000,-0.860000,0.741187,0.040000,341.760709
0.860000,-0.860000,0.755659,0.040000,339.540155
0.900000,-0.860000,0.771172,0.040000,337.287931
0.940000,-0.860000,0.787392,0.040000,335.014243
0.980000,-0.860000,0.805116,0.040000,332.729064
1.020000,-0.860000,0.822965,0.040000,330.441990
1.060000,-0.860000,0.842336,0.040000,328.162120
1.100000,-0.860000,0.862680,0.040000,325.897962
1.140000,-0.860000,0.883445,0.040000,323.657356
1.180000,-0.860000,0.905502,0.040000,321.447431
1.220000,-0.860000,0.928759,0.040000,319.274580
1.260000,-0.860000,0.952237,0.040000,317.144455
-1.340000,-0.820000,0.971710,0.040000,316.529994
-1.300000,-0.820000,0.945558,0.040000,318.703504
-1.260000,-0.820000,0.920401,0.040000,320.933985
-1.220000,-0.820000,0.896324,0.040000,323.217097
-1.180000,-0.820000,0.872842,0.040000,325.547708
-1.140000,-0.820000,0.849938,0.040000,327.919862
-1.100000,-0.820000,0.828333,0.040000,330.326749
-1.060000,-0.820000,0.808002,0.040000,332.760701
-1.020000,-0.820000,0.787787,0.040000,335.213214
-0.980000,-0.820000,0.769122,0.040000,337.674990
-0.940000,-0.820000,0.751410,0.040000,340.136017
-0.900000,-0.820000,0.734397,0.040000,342.585676
-0.860000,-0.820000,0.718904,0.040000,345.012884
-0.820000,-0.820000,0.703676,0.040000,347.406263
-0.780000,-0.820000,0.690057,0.040000,349.754331
