x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
1.080000,-1.600000,0.401123,0.080000,-1753.644761,-3.508002,2.244708,0.438548,-0.000000,0.000000,0.000000
1.160000,-1.600000,0.400125,0.080000,-1753.556669,-3.921361,2.657761,0.666271,-0.000000,0.000000,0.000000
1.240000,-1.600000,0.400125,0.080000,-1753.451529,-4.412285,3.147030,0.982073,-0.000000,0.000000,0.000000
1.320000,-1.600000,0.401123,0.080000,-1753.326210,-4.992245,3.723897,1.418314,-0.000000,0.000000,0.000000
1.400000,-1.600000,0.403113,0.080000,-1753.177024,-5.669797,4.398186,2.021900,-0.000000,0.000000,0.000000
1.480000,-1.600000,0.401123,0.080000,-1752.999669,-6.449963,5.175698,2.860701,-0.000000,0.000000,0.000000
1.560000,-1.600000,0.400125,0.080000,-1752.789191,-7.329138,6.052031,4.030741,-0.000000,0.000000,0.000000
1.640000,-1.600000,0.400125,0.080000,-1752.540030,-8.280234,6.999027,5.666002,-0.000000,0.000000,0.000000
1.720000,-1.600000,0.401123,0.080000,-1752.246222,-9.224868,7.939109,7.951491,-0.000000,0.000000,0.000000
1.800000,-1.600000,0.403113,0.080000,-1751.901939,-9.987034,8.699422,11.134524,-0.000000,0.000000,0.000000
1.880000,-1.600000,0.401123,0.080000,-1751.502651,-10.214201,8.931752,15.518609,-0.000000,0.000000,0.000000
1.960000,-1.600000,0.400125,0.080000,-1751.047453,-9.216218,7.879089,21.498656,-0.000000,0.000000,0.000000
2.040000,-1.600000,0.400125,0.080000,-1750.543390,-5.821827,4.476618,28.885330,-0.000000,0.000000,0.000000
2.120000,-1.600000,0.383275,0.080000,-1750.012874,1.793702,-3.208930,37.557689,0.000000,-0.000000,0.000000
-2.120000,-1.520000,0.381182,0.080000,-1750.613738,7.622623,-9.163675,-27.968224,0.000000,-0.000000,-0.000000
-2.040000,-1.520000,0.460977,0.080000,-1750.955136,0.622904,-1.997691,-23.584668,0.000000,-0.000000,-0.000000
-1.960000,-1.520000,0.480104,0.080000,-1751.310383,-3.556318,2.200385,-18.948743,-0.000000,0.000000,-0.000000
-1.880000,-1.520000,0.480937,0.080000,-1751.652499,-5.703414,4.418926,-14.643757,-0.000000,0.000000,-0.000000
-1.800000,-1.520000,0.482597,0.080000,-1751.967496,-6.548801,5.256642,-11.147150,-0.000000,0.000000,-0.000000
